1012, -42.93, 104.96
1013, -53.78, 24.76
1019, -24.42, 24.41
1020, -63.09, 160.95
1024, -79.06, 128.07
1030, -16.34, 67.53
1033, -34.29, 139.40
1037, 25.60, 22.31
1040, 20.57, 159.08
1042, -24.73, 27.97
1043, 11.73, 81.68
1045, -51.64, 66.61
1046, -62.06, 14.98
1047, -80.13, 66.29
1048, 35.92, 29.68
1051, 17.99, 20.55
1054, 21.23, 19.49
1055, 8.09, 7.22
1065, -43.29, 27.61
1066, 1.30, 25.25
1072, 3.78, 94.52
1074, -27.25, 116.97
1075, 29.61, 126.47
1076, -59.89, 110.22
1077, -8.39, 119.52
1081, -56.58, 15.08
1082, -65.58, 13.86
1083, -63.93, 5.42
1089, 3.00, 59.74
109, 0.00, 0.00
1090, -0.56, 116.57
1092, -8.92, 30.12
1093, 23.84, 17.90
