109 6.74
1001	0.00
1002	0.00
1003	0.00
1004	0.00
1005	0.00
1006	0.00
1007	0.00
1008	0.00
1009	0.00
1010	-21.93
1011	8.34
1012	-7.72
1013	31.36
1014	11.08
1015	0.00
1016	-19.22
1017	-5.53
1018	0.31
1019	-8.45
1020	13.06
1021	0.00
1022	7.93
1023	-10.86
1024	29.97
1025	0.00
1026	0.00
1027	0.00
1028	0.00
1029	1.10
1030	-2.34
1031	0.00
1032	0.00
1033	0.20
1034	5.76
1035	-18.13
1036	0.00
1037	-17.67
1038	-13.52
1039	0.00
1040	-33.66
1041	0.00
1042	6.96
1043	-8.16
1044	0.00
1045	17.11
1046	10.30
1047	28.79
1048	-33.79
1049	-1.38
1050	0.00
1051	10.08
1052	-25.90
1053	0.00
1054	-3.94
1055	-18.70
1056	-24.24
1057	0.00
1058	4.77
1059	0.00
1060	0.00
1061	0.00
1062	0.00
1063	0.00
1064	0.00
1065	3.97
1066	-8.82
1067	0.00
1068	0.00
1069	0.00
1070	0.00
1071	-14.52
1072	0.00
1073	16.24
1074	-8.76
1075	-17.60
1076	24.09
1077	2.71
1078	-1.61
1079	0.00
1080	0.00
1081	17.77
1082	16.67
1083	20.19
1084	12.64
1085	4.73
1086	-12.62
1087	0.00
1088	28.16
1089	10.85
1090	-16.20
1091	-3.14
1092	-8.59
1093	7.08
1094	8.05
